word,time elapsed,letters guessed correctly,letters guessed incorrectly
prattler,0.24135398864746094,5,2
tulu,0.05685257911682129,3,6
serrefine,0.16954421997070312,6,0
overpepper,0.1575772762298584,4,2
unpoisonous,0.14859795570373535,2,1
checkage,0.17450261116027832,3,4
griffinish,0.1735692024230957,6,2
barong,0.14061880111694336,5,4
transcribes,0.15854740142822266,6,0
underarch,0.2204444408416748,6,3
